feature,target
 em thi khối a01 thì có thể học tại khoa không ạ,Loại tổ hợp xét tuyển
 tổ hợp xét tuyển,Loại tổ hợp xét tuyển
 em cần điểm những bộ môn gì ạ,Loại tổ hợp xét tuyển
 những tổ hợp môn được chấp nhận để xét tuyển vào khoa,Loại tổ hợp xét tuyển
 chương trình [toán kinh tế](nganh_hoc) tuyển sinh những tổ hợp nào,Loại tổ hợp xét tuyển
 tổ hợp nào thì có thể dùng để xét tuyển chương trình [toán kinh tế](nganh_hoc),Loại tổ hợp xét tuyển
 thí sình có thể dùng tổ hợp nào để xét tuyển vào chương trình [toán kinh tế](nganh_hoc),Loại tổ hợp xét tuyển
 những tổ hợp có thể dùng để xét tuyển vào chương trình [toán kt](nganh_hoc) là gì,Loại tổ hợp xét tuyển
 các tổ hợp xã hội có được dùng để xét tuyển vào chương trình [dseb](nganh_hoc) không,Loại tổ hợp xét tuyển
 có những tổ hợp nào dùng để xét tuyển vào chương trình [định phí bảo hỉểm](nganh_hoc),Loại tổ hợp xét tuyển
 [7.8](diem) có đỗ được khoa toán không,Điểm xét tuyển đầu vào
 cần bao nhiêu điểm thì có thể vào được chương trình [actuary](nganh_hoc),Điểm xét tuyển đầu vào
 bao nhiêu điểm thì đỗ chương trình [data science](nganh_hoc),Điểm xét tuyển đầu vào
 điểm đậu chương trình [toán kinh tế](nganh_hoc) là bao nhiêu,Điểm xét tuyển đầu vào
 bao nhiêu điểm thì đậu chương trình [ds](nganh_hoc),Điểm xét tuyển đầu vào
 cần bao nhiêu để đỗ chương trình [ds](nganh_hoc),Điểm xét tuyển đầu vào
 cần bao nhiêu điểm để đỗ chuyên ngành [ds](nganh_hoc),Điểm xét tuyển đầu vào
 điểm đậu vào chương trình [toán kinh tế](nganh_hoc) có cao không,Điểm xét tuyển đầu vào
 điểm xét tuyển vào chương trình [actuary](nganh_hoc) là bao nhiêu,Điểm xét tuyển đầu vào
 điểm đỗ vào [ds](nganh_hoc) là bao nhiêu,Điểm xét tuyển đầu vào
 cách tuyển thẳng vào khoa,Áp dụng chung
 các hình thức tuyển thẳng vào khoa,Áp dụng chung
 khoa có áp dụng các hình thức tuyển thẳng không,Áp dụng chung
 khoa có tuyển thẳng không ạ,Áp dụng chung
 giải,Giải quốc gia
 giải bộ môn [toán] thì có được tuyển thẳng không ạ,Giải quốc gia
 giải cấp [thành phố] thì có được tuyển thẳng không ạ,Giải quốc gia
 giải gi thì khoa mới nhận ạ,Giải quốc gia
 em có giải quốc gia môn [toán](mon) em có được tuyển thẳng vào khoa không,Giải quốc gia
 em có giải [ba](giai_thuong) quốc gia môn [hóa](mon) em có được tuyển thẳng không ạ,Giải quốc gia
 giải [ba](giai_thuong) quốc gia môn [lý](mon) có được tuyển thẳng không ạ,Giải quốc gia
 em có giải quốc tế môn [toán](mon) em có được tuyển thẳng vào khoa không,Giải quốc gia
 em có huy chương [bạc](giai_thuong) quốc tế môn [hóa](mon) em có được tuyển thẳng không ạ,Giải quốc gia
 giải [ba](giai_thuong) quốc tế môn [lý](mon) có được tuyển thẳng không ạ,Giải quốc gia
 sat,SAT
 số điểm sat tiêu chuẩn để vào trường là gì ạ,SAT
 em có thể apply vào trường bằng điểm sat không ạ,SAT
 điểm sat,SAT
 điểm sat [1200](diem) có đủ để xét tuyển kết hợp không ạ,SAT
" em có sat [1340](diem) điểm, môn [toán](mon) được [8.0](diem) điểm, môn [hóa](mon) được [9.0](diem) điểm có được vào khoa không ạ",SAT
 ngoài điểm sat ra còn điều kiện nào để được xét tuyển vào khoa ạ,SAT
 điểm sat trên bao nhiêu thì được xét tuyển ạ,SAT
 chỉ cần điểm ielts là được tuyển thẳng rồi ạ,Ielts
 em có điểm ielts là [7.5](diem_ielts) em có được đăng ký xét tuyển kết hợp không ạ,Ielts
 ielts [6.0](diem_ielts) đã đủ để xét tuyển vào khoa chưa ạ,Ielts
 ielts bao nhiêu là đủ để vào khoa ạ,Ielts
 em có ielts [5.5](diem_ielts) rồi có được tuyển thẳng không ạ,Ielts
" em có ielts [8.5](diem_ielts), 2 môn [8.2 toán](diem) và [7.6 lý](diem) em được tổng là [toán kinh tế](nganh_hoc) điểm, em có được tuyển thẳng không ạ",Ielts
 chỉ cần điểm ielts là được tuyển thẳng rồi ạ,Olympia
 em có điểm ielts là [7.5](diem_ielts) em có được đăng ký xét tuyển kết hợp không ạ,Olympia
 ielts [6.0](diem_ielts) đã đủ để xét tuyển vào khoa chưa ạ,Olympia
 ielts bao nhiêu là đủ để vào khoa ạ,Olympia
 em có ielts [5.5](diem_ielts) rồi có được tuyển thẳng không ạ,Olympia
" em có ielts [8.5](diem_ielts), 2 môn [8.2 toán](diem) và [7.6 lý](diem) em được tổng là [toán kinh tế](nganh_hoc) điểm, em có được tuyển thẳng không ạ",Olympia
 diện nghèo,Diện nghèo
 nhà em có hoàn cảnh khó khăn thì được tuyển thẳng không ạ,Diện nghèo
" em thuộc diện nghèo theo nghị quyết 30a, em có được tuyển thẳng không ạ",Diện nghèo
 hộ nghèo có được ưu tiên vào trường không ạ,Diện nghèo
 khoa gồm những chuyên ngành nào,Các chương trình / chuyên ngành của khoa
 các chương trình chuyên ngành của khoa,Các chương trình / chuyên ngành của khoa
 khoa có những chương trình nào,Các chương trình / chuyên ngành của khoa
 khoa có những chuyên ngành nào,Các chương trình / chuyên ngành của khoa
 khoa đào tạo những chuyên ngành nào,Các chương trình / chuyên ngành của khoa
 cơ hội đi du học liên thông,Các chương trình / chuyên ngành của khoa liên kết với nước ngoài
 các chương trình liên kết với nước ngoài,Các chương trình / chuyên ngành của khoa liên kết với nước ngoài
 các lớp liên kết của khoa,Các chương trình / chuyên ngành của khoa liên kết với nước ngoài
 em có thể học liên kết được không ạ,Các chương trình / chuyên ngành của khoa liên kết với nước ngoài
 lyon,Các chương trình / chuyên ngành của khoa liên kết với nước ngoài
 khoa có chương trình liên kết không,Các chương trình / chuyên ngành của khoa liên kết với nước ngoài
 khoa có những chương trình liên kết nước ngoài không,Các chương trình / chuyên ngành của khoa liên kết với nước ngoài
 em có cơ hội học chương trình liên kết nước ngoài không,Các chương trình / chuyên ngành của khoa liên kết với nước ngoài
 các loại học bổng,Các loại học bổng
 em có thể kiếm học bổng khi học ở khoa không,Các loại học bổng
 khoa áp dụng những loại học bổng gì,Các loại học bổng
 khoa có những học bổng nào,Các loại học bổng
 một năm có bao nhiêu loại học bổng,Các loại học bổng
 khoa có những cơ hội học bổng nào dành cho sinh viên,Các loại học bổng
 học bổng của trường và của doanh nghiệp khác nhau như thế nào,Các loại học bổng
 em có điểm tổng kết học kì [một] là [7.9] thì có được học bổng không ạ,Điều kiện học bổng
 học lực [giỏi] thì có đủ để đạt học bổng không ạ,Điều kiện học bổng
 điều kiện học bổng,Điều kiện học bổng
 kiếm học bổng có dễ không ạ,Điều kiện học bổng
 khoa có những mức học bổng nào,Điều kiện học bổng
 điều kiện nào để đạt học bổng,Điều kiện học bổng
 em cần đạt điểm trung bình bao nhiêu thì được học bổng,Điều kiện học bổng
 tiêu chí xét học bổng của khoa,Điều kiện học bổng
 có khó khăn lắm không để kiếm học bổng ạ,Điều kiện học bổng
 em muốn tham gia hoạt đọng ngoại khóa trong khoa,Các cuộc thi của khoa
 ngoài [mfecup] thì khoa còn tổ chức nhũng cuôc thi gì khác,Các cuộc thi của khoa
 ngoài học ra thì ở khoa em còn có thể tham gia những hoạt động gì,Các cuộc thi của khoa
 các hoạt động ngoại khóa của khoa,Các cuộc thi của khoa
 các cuộc thi của khoa,Các cuộc thi của khoa
 khoa có những cuộc thi nào,Các cuộc thi của khoa
 trong năm khoa có tổ chức cuộc thi nào không,Các cuộc thi của khoa
 sinh viên trong khoa có thể tham gia các cuộc thi nào,Các cuộc thi của khoa
 em có thể tham gia vào các hoạt động ngoại khóa của khoa không,Cơ hội khen thưởng trong các cuộc thi
 cơ hội khen thưởng trong các cuộc thi,Cơ hội khen thưởng trong các cuộc thi
 sinh viên đạt thành tích trong các cuộc thi có được khen thưởng không,Cơ hội khen thưởng trong các cuộc thi
 tham gia các hoạt động nào thì được khen thưởng,Cơ hội khen thưởng trong các cuộc thi
" em học không giỏi, liệu em có cơ hội phấn đấu để được khen thưởng không",Cơ hội khen thưởng trong các cuộc thi
 thi viết cảm nhận về khoa mình,Thi viết khoa toán trong tôi
 mfeinmymind,Thi viết khoa toán trong tôi
 khoa toán trong tôi là gì,Thi viết khoa toán trong tôi
 khoa mình có tổ chức cuộc thi viết lách gì không ạ,Thi viết khoa toán trong tôi
 cuộc thi viết khoa toán trong tôi là gì ạ,Thi viết khoa toán trong tôi
 thể lệ cuộc thi viết khoa toán trong tôi là gì ạ,Thi viết khoa toán trong tôi
 quyền lợi khi tham dự cuộc thi viết khoa toán trong tôi là gì ạ,Thi viết khoa toán trong tôi
 ngoài [bóng đá] ra thì khoa có các hoạt đông thể thao nào khác ạ,Thể dục thể thao
 khoa mình có giải thể thao nào ạ,Thể dục thể thao
 khoa mình có tổ chức các hoạt động thể thao gì không ạ,Thể dục thể thao
 khoa có những cuộc thi thể dục thể thao nào ạ,Thể dục thể thao
 các cuộc thi thể dục thể thao có tổ chức thường xuyên không,Thể dục thể thao
 đá bóng,Thi bóng đá
 em muốn đá bóng với các bạn trong khoa,Thi bóng đá
 thi bóng đá trong khoa,Thi bóng đá
 mfecup được tổ chức như thế nào,Thi bóng đá
 khoa có câu lạc bộ bóng đá không ạ em muốn đăng ký tham gia để dự thi ạ,Thi bóng đá
 khoa có giải bóng đá không ạ,Thi bóng đá
 mfecup là gì ạ,Thi bóng đá
 điểm rèn luyện là gì ạ,điểm rèn luyện
 thang điểm rèn luyện được tính như nào ạ,điểm rèn luyện
 đánh giá điểm rèn luyện như thế nào ạ,điểm rèn luyện
 điểm rèn luyện dùng để làm gì ạ,điểm rèn luyện
 điểm rèn luyện bao nhiêu là đạt ạ,điểm rèn luyện
 em phải làm gì để có điểm rèn luyện ạ,điểm rèn luyện
 làm cách nào để tăng điểm rèn luyện ạ,điểm rèn luyện
 tham gia những hoạt động nào được tính vào điểm rèn luyện ạ,điểm rèn luyện
 nếu điểm rèn luyện mà không đạt thì sao ạ,điểm rèn luyện
" đánh giá điểm rèn luyện theo kỳ học, năm học hay toàn khóa ạ",điểm rèn luyện
 điểm rèn luyện có quan trọng không ạ,điểm rèn luyện
 tầm quan trọng của điểm rèn luyện như nào ạ,điểm rèn luyện
 điểm rèn luyện có ảnh hưởng đến việc xét bằng không ạ,điểm rèn luyện
 đăng ký tín chỉ như thế nào ạ,Đăng ký tín chỉ
 đăng ký tín chỉ ở đâu ạ,Đăng ký tín chỉ
 nhà trường có đăng ký trước cho bọn em không hay bọn em phải tự đăng ký ạ,Đăng ký tín chỉ
 lúc đăng ký mạng nhà trường có bị lag không ạ,Đăng ký tín chỉ
 được đăng ký tối đa bao nhiêu tín/kỳ ạ,Đăng ký tín chỉ
 phải đăng ký tối thiểu bao nhiêu tín/kỳ ạ,Đăng ký tín chỉ
 số tín chỉ tối đa được đăng ký 1 kỳ là bao nhiêu ạ,Đăng ký tín chỉ
 số tín chỉ tối thiểu được đăng ký 1 kỳ là bao nhiêu ạ,Đăng ký tín chỉ
 ra quán net đăng ký có dễ hơn không ạ,Đăng ký tín chỉ
 nếu em muốn hủy lớp đã đăng ký thì làm như nào ạ,Đăng ký tín chỉ
 thời gian đăng ký tín chỉ trong bao lâu ạ,Đăng ký tín chỉ
 em nên đăng ký bao nhiêu tín chỉ/kỳ ạ,Đăng ký tín chỉ
 hủy tín chỉ như nào ạ,Đăng ký tín chỉ
 em thích anh [Tu] khoa [Act](nganh_hoc),Kiểm người yêu khi vào khoa
 chị [Linh] co xinh không ạ,Kiểm người yêu khi vào khoa
 kiếm người iu,Kiểm người yêu khi vào khoa
 học nhiều thế thì có thời gian để kiếm người yêu không,Kiểm người yêu khi vào khoa
 kiếm người yêu,Kiểm người yêu khi vào khoa
 kiếm bạn trai có dễ không ạ,Kiểm người yêu khi vào khoa
 kiếm bạn gái có khó không ạ,Kiểm người yêu khi vào khoa
 ở khoa có nhiều anh chị đẹp trai xinh gái không ạ,Kiểm người yêu khi vào khoa
 trong lớp có nhiều bạn trai không ạ,Kiểm người yêu khi vào khoa
 trong lớp có nhiều bạn trai đẹp trai không ạ,Kiểm người yêu khi vào khoa
 trong lớp có nhiều bạn nữ không ạ,Kiểm người yêu khi vào khoa
 trong lớp có nhiều bạn nữ xinh gái không ạ,Kiểm người yêu khi vào khoa
 tỉ lệ nam nữ trong lớp như thế nào ạ,Kiểm người yêu khi vào khoa
 làm thế nào để có người yêu ạ,Kiểm người yêu khi vào khoa
 vào trường có dễ có người yêu không ạ,Kiểm người yêu khi vào khoa
 đi chơi dã ngoại,"đi chơi, dã ngoại"
 1 năm khoa mình tổ chức đi dã ngoại bao nhiêu lần nhỉ,"đi chơi, dã ngoại"
 sinh viên có nhiều thời gian rảnh không ạ,"đi chơi, dã ngoại"
 lớp có thường xuyên đi chơi hay dã ngoại không ạ,"đi chơi, dã ngoại"
" ngoài việc học, sinh viên có thể tham gia những hoạt động gì ạ","đi chơi, dã ngoại"
 khoa/lớp có hay tổ chức các hoạt động dã ngoại không ạ,"đi chơi, dã ngoại"
 em có thể kiếm thêm thông tin từ khoa qua các trang web nào,Trang khoa
 trang web của khoa là gì ạ,Trang khoa
 em có thể biết thêm thông tin của khoa từ đâu,Trang khoa
 link website của khoa,Trang khoa
 trang chính của khoa ở đâu ạ,Trang khoa
 em có thể biết được gì thêm ở trang khoa,Chức năng chung của web
 em có thể biết gì ở trang web,Chức năng chung của web
 trong mfe.neu.edu.vn có những gì,Chức năng chung của web
 các chức năng chính của web khoa,Chức năng chung của web
 link tin tức của khoa,Tin tức web
 tin tức web khoa,Tin tức web
 khoa mình có thông báo gì mới,Tin tức web
 thông tin mới nhất của khoa,Tin tức web
 tin tức khoa,Tin tức web
 những tin tức mới nhất của khoa,Tin tức web
 khoa có những gì mới,Tin tức web
 [ielts](english_cert) phải là bao nhiêu thì mới không phải thi đầu vào tiếng anh,Đối tượng phải thi
 muỗn không thi phải đầu vào tiếng anh thì cần tối thiểu bao nhiêu [ielts](english_cert),Đối tượng phải thi
 khi đỗ vào khoa rồi thi em còn phải thi gì nữa không,Đối tượng phải thi
 em có được miễn tiếng anh đầu vào không,Đối tượng phải thi
 thế nào để được miễn thi tiếng anh đầu vào,Đối tượng phải thi
 điều kiện phải thi tiếng anh đầu vào,Đối tượng phải thi
 em có phải thi đầu vào tiếng anh không,Đối tượng phải thi
" em đã có đầu vào [ielts](english_cert) rồi, em có phải thi tiếng anh không",Đối tượng phải thi
" em đã đi du học về, em có phải thi tiếng anh không",Đối tượng phải thi
 các kĩ năng khi thi đầu vào tiếng anh của khoa,Dạng đề đầu vào tiếng anh
 các phần thi đầu vào tiếng anh của khoa,Dạng đề đầu vào tiếng anh
 tài liệu ôn thi đầu vào tiếng anh của khoa,Dạng đề đầu vào tiếng anh
 thi đầu vào tiếng anh của khoa có những phần nào,Dạng đề đầu vào tiếng anh
 hình thức thi đầu vào tiếng anh của khoa,Dạng đề đầu vào tiếng anh
 format thi đầu vào tiếng anh của khoa,Dạng đề đầu vào tiếng anh
 thi đầu vào tiếng anh như thế nào,Dạng đề đầu vào tiếng anh
 dạng đề thi đầu vào tiếng anh,Dạng đề đầu vào tiếng anh
 em phải đóng bao nhiêu để thi đầu vào tiếng anh ạ,Phí thi đầu vào Tiếng Anh
 phí thi đầu vào tiếng anh,Phí thi đầu vào Tiếng Anh
 có phải đóng phí thi đầu vào môn tiếng anh không ạ,Phí thi đầu vào Tiếng Anh
 thi đầu vào tiếng anh miễn phí chứ ạ,Phí thi đầu vào Tiếng Anh
 thi tiếng anh mất bao nhiêu tiền,Phí thi đầu vào Tiếng Anh
 có mất phí thi đầu vào tiếng anh không,Phí thi đầu vào Tiếng Anh
 kết quả thi đầu vào tiếng anh của em là [7.5](diem),Đánh giá điểm thi đầu vào Tiếng Anh
 điểm đầu vào tiếng anh là [8](diem),Đánh giá điểm thi đầu vào Tiếng Anh
 vị trí phòng thi đầu vào tiếng anh,Địa điểm thi đầu vào Tiếng Anh
 thi đầu vào tiếng anh ở nhà nào,Địa điểm thi đầu vào Tiếng Anh
 phòng thi đầu vào tiếng anh,Địa điểm thi đầu vào Tiếng Anh
 thi đầu vào tiếng anh ở đâu,Địa điểm thi đầu vào Tiếng Anh
 địa điểm thi tiếng anh,Địa điểm thi đầu vào Tiếng Anh
 đổi điểm bài thi đầu vào tiếng anh,Đổi điểm đầu vào
 kết quả thi đầu vào tiếng anh có thể đổi luôn làm điểm đầu ra không,Đổi điểm đầu vào
 những điểm gì thì được đổi điểm đầu vào tiếng anh,Đổi điểm đầu vào
 em có thể đổi điểm đầu vào tiếng anh không,Đổi điểm đầu vào
 em có thể lấy điểm đầu vào tiếng anh lấy đầu ra luôn không,Đổi điểm đầu vào
 khoa có chấp nhận đổi điểm đầu vào tiếng anh không,Đổi điểm đầu vào
" tiếng anh của em chưa tốt, vậy có thể theo học chương trình được không",Yêu cầu tiếng Anh
 tiếng anh ban đầu có quá quan trọng để học môn [toán kinh tế](nganh_hoc) không,Yêu cầu tiếng Anh
 tiếng anh tối thiểu để học ngành [toán kinh tế](nganh_hoc) là gì ạ,Yêu cầu tiếng Anh
 em muốn học ngành [toán kinh tế](nganh_hoc) nhưng tiếng anh em nát quá thì làm sao không ạ,Yêu cầu tiếng Anh
 tiếng anh là bao nhiêu thì mới đủ để học môn [toán kinh tế](nganh_hoc),Yêu cầu tiếng Anh
 yêu cầu đẩu ra tiếng anh là gì,Đầu ra Tiếng Anh
 để ra trường thì cần những chứng chỉ tiếng anh gì,Đầu ra Tiếng Anh
" em có [7.5](diem)[ielts](english_cert) , em đã đủ điểm tiếng anh ra trường chưa",Đầu ra Tiếng Anh
 đầu ra tiếng anh là gì,Đầu ra Tiếng Anh
 em cần bao nhiêu điểm [toelf](english_cert) để được ra trường,Đầu ra Tiếng Anh
" em có [ielts](english_cert) , em đã đủ điểm tiếng anh ra trường chưa",Đầu ra Tiếng Anh
 [7.5](diem) [toeic](english_cert) có đủ điều kiện tốt nghiệp về tiếng anh không,Đầu ra Tiếng Anh
 có những chứng chỉ nào được công nhận đầu ra tiếng anh,Đầu ra Tiếng Anh
 em có thể nộp những bằng nào để xét đầu ra tiếng anh,Đầu ra Tiếng Anh
 chứng chỉ [ielts](english_cert) của em có được công nhận đầu ra không ạ,Đầu ra Tiếng Anh
 em muốn tốt nghiệp thì phải có chứng chỉ tiếng anh nào ạ,Đầu ra Tiếng Anh
 yêu cầu đẩu ra tin học là gì,Đầu ra Tin học
 để ra trường thì cần những chứng chỉ tin học gì,Đầu ra Tin học
" em có [mos](it_cert) , em đã đủ điểm tin học  ra trường chưa",Đầu ra Tin học
