Intent,Question
Công việc sau khi ra trường,Các vị trí nghề nghiệp sau này của ngành __ là gì ạ?
Cơ hội việc,Em muốn biết là học ngành __ ra có dễ xin việc không ạ?
Cơ hội việc,Học ngành __ xong có dễ xin việc ko?
Cơ hội việc,Nhu cầu sinh viên học ngành __ có cao không?
Cơ hội việc,Sau khi học xong ngành __ có dễ kiếm được việc làm không?
Cơ hội việc,Cơ hội nghề nghiệp của ngành __ này như thế nào ạ?
Cơ hội việc,Học xong ngành __ có dễ kiếm được việc không?
Cơ hội việc,Học xong ngành __ có dễ xin việc không?
Cơ hội việc,cơ hội làm việc của ngành __ sau này là như thế nào ạ?
Cảm nhận về thầy cô,Thầy cô trong khoa như thế nào?
Cảm nhận về thầy cô,Thầy cô trong khoa có giống như cấp 3 không?
Cảm nhận về thầy cô,Giáo viên đại học có giống như cấp 3 không?
Cảm nhận về thầy cô,Thầy cô trong khoa có nhiệt tình không?
Cảm nhận về thầy cô,Anh chị nhận xét thế nào về giáo viên trong khoa?
Cảm nhận về thầy cô,Bạn nhận xét sao về thầy cô trong khoa?
Loại tổ hợp xét tuyển,Chương trình __ tuyển sinh những tổ hợp nào?
Loại tổ hợp xét tuyển,Tổ hợp nào thì có thể dùng để xét tuyển chương trình __?
Loại tổ hợp xét tuyển,Thí sình có thể dùng tổ hợp nào để xét tuyển vào chương trình __?
Loại tổ hợp xét tuyển,Những tổ hợp có thể dùng để xét tuyển vào chương trình __ là gì?
Loại tổ hợp xét tuyển,Các tổ hợp xã hội có được dùng để xét tuyển vào chương trình __ không?
Loại tổ hợp xét tuyển,Có những tổ hợp nào dùng để xét tuyển vào chương trình__?
Điểm xét tuyển đầu vào,Cần bao nhiêu điểm thì có thể vào được chương trình __?
Điểm xét tuyển đầu vào,Bao nhiêu điểm thì đỗ chương trình __?
Điểm xét tuyển đầu vào,Điểm đậu chương trình __ là bao nhiêu?
Điểm xét tuyển đầu vào,Bao nhiêu điểm thì đậu chương trình __?
Điểm xét tuyển đầu vào,Cần bao nhiêu để đỗ chương trình __?
Điểm xét tuyển đầu vào,Cần bao nhiêu điểm để đỗ chuyên ngành __ ?
Điểm xét tuyển đầu vào,Điểm đậu vào chương trình __ có cao không?
Điểm xét tuyển đầu vào,Điểm xét tuyển vào chương trình __ là bao nhiêu?
Điểm xét tuyển đầu vào,Điểm đỗ vào __ là bao nhiêu?
Áp dụng chung,Khoa có áp dụng các hình thức tuyển thẳng không?
Áp dụng chung,Khoa có tuyển thẳng không ạ?
Giải quốc gia,Em có giải quốc gia môn ____ em có được tuyển thẳng vào khoa không?
Giải quốc gia,Em có giải __ quốc gia môn ___ em có được tuyển thẳng không ạ?
Giải quốc gia,Giải ___ quốc gia môn ___ có được tuyển thẳng không ạ?
SAT,Điểm SAT ___ có đủ để xét tuyển kết hợp không ạ?
SAT,"Em có SAT ___ điểm, môn ___ được ____ điểm, môn ___ được ____ điểm có được vào khoa không ạ?"
SAT,Ngoài điểm SAT ra còn điều kiện nào để được xét tuyển vào khoa ạ?
SAT,Điểm SAT trên bao nhiêu thì được xét tuyển ạ?
Ielts,Em có điểm IELTS là ___ em có được đăng ký xét tuyển kết hợp không ạ?
Ielts,IELTS _____ đã đủ để xét tuyển vào khoa chưa ạ?
Ielts,IELTS bao nhiêu là đủ để vào khoa ạ?
Ielts,Em có IELTS ___ rồi có được tuyển thẳng không ạ?
Ielts,"Em có IELTS ___, 2 môn ___ và ___ em được tổng là ___ điểm, em có được tuyển thẳng không ạ?"
Olympia,"Em đạt giải ___ cuộc thi đường lên đỉnh Olympia, 2 môn ____ em được ___ điểm, liệu em có thể vào khoa không ạ?"
Olympia,"Em là thí sinh đạt giải ""Đường lên đỉnh Olympia, em có xét tuyển không ạ?"
Olympia,Ngưỡng điểm tổ hợp xét tuyển đối với thí sinh đạt giải Olympia là bao nhiêu?
Diện nghèo,"Em thuộc diện nghèo theo nghị quyết 30A, em có được tuyển thẳng không ạ?"
Các chương trình / chuyên ngành của khoa,Khoa có những chương trình nào?
Các chương trình / chuyên ngành của khoa,Khoa có những chuyên ngành nào?
Các chương trình / chuyên ngành của khoa,Khoa đào tạo những chuyên ngành nào?
Các chương trình / chuyên ngành của khoa liên kết với nước ngoài,Khoa có chương trình liên kết không?
Các chương trình / chuyên ngành của khoa liên kết với nước ngoài,Khoa có những chương trình liên kết nước ngoài không?
Các chương trình / chuyên ngành của khoa liên kết với nước ngoài,Em có cơ hội học chương trình liên kết nước ngoài không?
Các loại học bổng,Khoa áp dụng những loại học bổng gì?
Các loại học bổng,Khoa có những học bổng nào?
Các loại học bổng,Một năm có bao nhiêu loại học bổng?
Các loại học bổng,Khoa có những cơ hội học bổng nào dành cho sinh viên?
Các loại học bổng,Học bổng của trường và của doanh nghiệp khác nhau như thế nào?
Điều kiện học bổng,Khoa có những mức học bổng nào?
Điều kiện học bổng,Điều kiện nào để đạt học bổng?
Điều kiện học bổng,Em cần đạt điểm trung bình bao nhiêu thì được học bổng?
Điều kiện học bổng,Tiêu chí xét học bổng của khoa?
Các cuộc thi của khoa,Khoa có những cuộc thi nào?
Các cuộc thi của khoa,Trong năm khoa có tổ chức cuộc thi nào không?
Các cuộc thi của khoa,Sinh viên trong khoa có thể tham gia các cuộc thi nào?
Cơ hội khen thưởng trong các cuộc thi,Sinh viên đạt thành tích trong các cuộc thi có được khen thưởng không?
Cơ hội khen thưởng trong các cuộc thi,Tham gia các hoạt động nào thì được khen thưởng?
Cơ hội khen thưởng trong các cuộc thi,"Em học không giỏi, liệu em có cơ hội phấn đấu để được khen thưởng không?"
Thi viết khoa toán trong tôi,Cuộc thi viết khoa toán trong tôi là gì ạ?
Thi viết khoa toán trong tôi,Thể lệ cuộc thi viết khoa toán trong tôi là gì ạ?
Thi viết khoa toán trong tôi,Quyền lợi khi tham dự cuộc thi viết khoa toán trong tôi là gì ạ?
Thể dục thể thao,Khoa có những cuộc thi thể dục thể thao nào ạ?
Thể dục thể thao,Các cuộc thi thể dục thể thao có tổ chức thường xuyên không
Thi bóng đá,Khoa có câu lạc bộ bóng đá không ạ? Em muốn đăng ký tham gia để dự thi ạ
Thi bóng đá,Khoa có giải bóng đá không ạ?
Thi bóng đá,MFECUP là gì ạ?
điểm rèn luyện,Điểm rèn luyện là gì ạ?
điểm rèn luyện,Thang điểm rèn luyện được tính như nào ạ?
điểm rèn luyện,Đánh giá điểm rèn luyện như thế nào ạ?
điểm rèn luyện,Điểm rèn luyện dùng để làm gì ạ?
điểm rèn luyện,Điểm rèn luyện bao nhiêu là đạt ạ?
điểm rèn luyện,Em phải làm gì để có điểm rèn luyện ạ?
điểm rèn luyện,Làm cách nào để tăng điểm rèn luyện ạ?
điểm rèn luyện,Tham gia những hoạt động nào được tính vào điểm rèn luyện ạ?
điểm rèn luyện,Nếu điểm rèn luyện mà không đạt thì sao ạ?
điểm rèn luyện,"Đánh giá điểm rèn luyện theo kỳ học, năm học hay toàn khóa ạ?"
điểm rèn luyện,Điểm rèn luyện có quan trọng không ạ?
điểm rèn luyện,Tầm quan trọng của điểm rèn luyện như nào ạ?
điểm rèn luyện,Điểm rèn luyện có ảnh hưởng đến việc xét bằng không ạ?
Đăng ký tín chỉ,Đăng ký tín chỉ như thế nào ạ?
Đăng ký tín chỉ,Đăng ký tín chỉ ở đâu ạ?
Đăng ký tín chỉ,Nhà trường có đăng ký trước cho bọn em không hay bọn em phải tự đăng ký ạ?
Đăng ký tín chỉ,Lúc đăng ký mạng nhà trường có bị lag không ạ?
Đăng ký tín chỉ,Được đăng ký tối đa bao nhiêu tín/kỳ ạ?
Đăng ký tín chỉ,Phải đăng ký tối thiểu bao nhiêu tín/kỳ ạ?
Đăng ký tín chỉ,Số tín chỉ tối đa được đăng ký 1 kỳ là bao nhiêu ạ?
Đăng ký tín chỉ,Số tín chỉ tối thiểu được đăng ký 1 kỳ là bao nhiêu ạ?
Đăng ký tín chỉ,Ra quán net đăng ký có dễ hơn không ạ?
Đăng ký tín chỉ,Nếu em muốn hủy lớp đã đăng ký thì làm như nào ạ?
Đăng ký tín chỉ,Thời gian đăng ký tín chỉ trong bao lâu ạ?
Đăng ký tín chỉ,Em nên đăng ký bao nhiêu tín chỉ/kỳ ạ?
Đăng ký tín chỉ,Hủy tín chỉ như nào ạ?
Kiểm người yêu khi vào khoa,Trong lớp có nhiều bạn trai không ạ?
Kiểm người yêu khi vào khoa,Trong lớp có nhiều bạn trai đẹp trai không ạ?
Kiểm người yêu khi vào khoa,Trong lớp có nhiều bạn nữ không ạ?
Kiểm người yêu khi vào khoa,Trong lớp có nhiều bạn nữ xinh gái không ạ?
Kiểm người yêu khi vào khoa,Tỉ lệ nam nữ trong lớp như thế nào ạ?
Kiểm người yêu khi vào khoa,Làm thế nào để có người yêu ạ?
Kiểm người yêu khi vào khoa,Vào trường có dễ có người yêu không ạ?
"dđi chơi, dã ngoại",Sinh viên có nhiều thời gian rảnh không ạ?
"dđi chơi, dã ngoại",Trong trường có những CLB nào ạ?
"dđi chơi, dã ngoại",Lớp có thường xuyên đi chơi hay dã ngoại không ạ?
"dđi chơi, dã ngoại","Ngoài việc học, sinh viên có thể tham gia những hoạt động gì ạ?"
"dđi chơi, dã ngoại",Khoa/lớp có hay tổ chức các hoạt động dã ngoại không ạ?
Trang khoa,Em có thể kiếm thêm thông tin từ khoa qua các trang web nào?
Trang khoa,Trang web của khoa là gì ạ ?
Trang khoa,Em có thể biết thêm thông tin của khoa từ đâu?
Trang khoa,Link website của khoa ?
Chức năng chung của web,Em có thể biết gì ở trang web?
Chức năng chung của web,Trong mfe.neu.edu.vn có những gì?
Chức năng chung của web,Các chức năng của web khoa ?
Tin tức web,Những tin tức mới nhất của khoa ?
Tin tức web,Khoa có những gì mới ?
Đối tượng phải thi,Em có phải thi đầu vào Tiếng Anh không?
Đối tượng phải thi,"Em đã có đầu vào IELTS rồi, em có phải thi Tiếng Anh không?"
Đối tượng phải thi,"Em đã có đầu vào TOEFL rồi, em có phải thi Tiếng Anh không?"
Đối tượng phải thi,"Em đã có đầu vào TOEIC rồi, em có phải thi Tiếng Anh không?"
Đối tượng phải thi,"Em đã đi du học về, em có phải thi Tiếng Anh không?"
Dạng đề đầu vào tiếng anh,Thi đầu vào Tiếng Anh như thế nào?
Dạng đề đầu vào tiếng anh,Dạng đề thi đầu vào Tiếng Anh?
Phí thi đầu vào Tiếng Anh,Thi Tiếng Anh mất bao nhiêu tiền?
Phí thi đầu vào Tiếng Anh,Có mất phí thi đầu vào Tiếng Anh không?
Địa điểm thi đầu vào Tiếng Anh,Thi đầu vào Tiếng Anh ở đâu
Địa điểm thi đầu vào Tiếng Anh,Địa điểm thi Tiếng Anh
Đánh giá thi đầu vào Tiếng Anh,"Kết quả thi đầu vào Tiếng Anh của em là __ ,"
Đánh giá thi đầu vào Tiếng Anh,"Điểm đầu vào Tiếng Anh là __ ,"
Đổi điểm đầu vào,Em có thể đổi điểm đầu vào Tiếng Anh không?
Đổi điểm đầu vào,Em có thể lấy điểm đầu vào Tiếng Anh lấy đầu ra luôn không?
Yêu cầu tiếng Anh,"Tiếng Anh của em chưa tốt, vậy có thể theo học chương trình được không?"
Đầu ra Tiếng Anh,Đầu ra Tiếng Anh là gì?
Đầu ra Tiếng Anh,Em cần bao nhiêu điểm IELTS để được ra trường?
Đầu ra Tiếng Anh,Em cần bao nhiêu điểm TOEFL để được tốt nghiệp?
Đầu ra Tiếng Anh,Em cần bao nhiêu điểm TOEIC để được ra trường?
Đầu ra Tiếng Anh,"Em có ___ , em đã đủ điểm Tiếng Anh ra trường chưa ?"
Đầu ra Tiếng Anh,___ có đủ điều kiện tốt nghiệp về TA không?
Đầu ra Tiếng Anh,Có những chứng chỉ nào được công nhận đầu ra Tiếng Anh ?
Đầu ra Tiếng Anh,Em có thể nộp những bằng nào để xét đầu ra Tiếng Anh ?
Đầu ra Tin học,Đầu ra Tin học là gì?
Đầu ra Tin học,Em cần bao nhiêu điểm IC3 để được ra trường?
Đầu ra Tin học,Em cần bao nhiêu điểm MOS để được tốt nghiệp?
Đầu ra Tin học,Em cần bao nhiêu điểm ICDL để được ra trường?
Đầu ra Tin học,"Em có ___ , em đã đủ điểm Tin học ra trường chưa ?"
Đầu ra Tin học,___ có đủ điều kiện tốt nghiệp về Tin học không?
Đầu ra Tin học,Có những chứng chỉ nào được công nhận đầu ra Tiếng Anh ?
Đầu ra Tin học,Em có thể nộp những bằng nào để xét đầu ra Tiếng Anh ?
học lực của người hỏi,Em thi thử được () điểm liệu có khả năng đỗ không
học lực của người hỏi,Em học giỏi môn A liệu có đủ khả năng ngành B không
học lực của người hỏi,Em thích/đam mê/yêu môn học A thì có thể thi vào ngành B không
học lực của người hỏi,Điểm của em phải nằm trong top bao nhiêu cả nước để có khả năng đỗ
học lực của người hỏi,Em học kém môn A liệu có thể học ngành B không
học lực của người hỏi,Học lực của em như thế này vào học ngành A có vất vả không
Nội dung học,Môn B của ngành A có khó không
Nội dung học,Ngành A đào tạo những kĩ năng gì cho nghề nghiệp tương lai
Nội dung học,Chương trình học có đáp ứng được với nhu cầu của nhà tuyển dụng hay không
Nội dung học,Các môn học của ngành A có vất vả đối với con gái/con trai không
Nội dung học,Môn học B của ngành A có tác dụng gì đối với nghề nghiệp sau này
Nội dung học,Mình sẽ học những gì ở chuyên ngành __ vậy?
Nội dung học,Mình sẽ học những môn gì ở chuyên ngành __?
Lương sinh viên tốt nghiệp__,Lương trung bình của sinh viên mới ra trường là bao nhiều
Triển vọng ngành học,Triển vọng nghề nghiệp trong 5/10/15 năm của ngành A
Triển vọng ngành học,Thị trường tuyển dụng ngành A như thế nào
Môi trường làm việc,Môi trường làm việc của ngành A như thế nào
Môi trường làm việc,Môi trường làm việc thường năng động hay yên lặng
Cơ hội nghề nghiệp,Khả năng thăng tiến trong ngành A liệu có khó không
Cơ hội nghề nghiệp,Ví dụ về những cựu học sinh đã thành công với ngành A là gì
Áp lực công việc,Công việc ngành A có vất vả không
Yêu cầu ngành__,"Ngành A có phải học tập suốt đời, liên tục học hỏi kiến thức mới không"
Môi trường làm việc,Ngành A có cơ hội được tiếp xúc với nhiều người hay không
Môi trường làm việc,Làm việc ngành A có cơ hội được nghiên cứu sâu hay không
Môi trường làm việc,Ví dụ về nghiên cứu trong ngành A
Môi trường làm việc,Ví dụ về các môi trường làm việc của ngành A
